img3-1-_png.rf.e6c7b7c805e434377651e2144135eaaf.jpg 0 0 1
img3-10-_png.rf.c332d6fcd21b3977c3a3a0faf47132b7.jpg 0 2 0
img3-11-_png.rf.921fe6600469a0034180d7870b00580e.jpg 2 2 0
img3-12-_png.rf.443a3cb93650acc18a326581e9ea2259.jpg 2 2 1
img3-13-_png.rf.97930123c8694cb7ec33ae4002c1abe4.jpg 1 2 1
img3-14-_png.rf.8d2d0438082fc3465528c7e884e24a4b.jpg 1 0 1
img3-15-_png.rf.52e4128069a9b94c90be6193fe018405.jpg 2 0 1
img3-16-_png.rf.63fad5b924da5c7c1f39dcb2e9c43401.jpg 2 1 1
img3-2-_png.rf.8954d6f2dc5b80f57d2d4d10ffad70a3.jpg 0 1 1
img3-3-_png.rf.f21d5ea9e873db15715a0fcf4078598f.jpg 2 0 0
img3-4-_png.rf.1c73fe7d718c2f6c48132a94e23251f1.jpg 2 1 0
img3-5-_png.rf.34ecc4cdd5667870605358b34bdfb949.jpg 1 1 0
img3-6-_png.rf.6bf9e1d43514a77b494b97a420b48843.jpg 1 1 2
img3-7-_png.rf.40441753521df0ca9399c18e69fd67ec.jpg 0 1 2
img3-8-_png.rf.0716d7a9cef68fc7ea45d18d8775b90b.jpg 0 2 2
img3-9-_png.rf.c1dd1a909e9f29657494e4b07a84c22e.jpg 2 2 2
img4-1-_png.rf.6237e5d7b2060dfaeac80d848f188988.jpg 2 1 0 2
img4-10-_png.rf.2cc1181e9ac0f6a0bc7d3f221762fcf4.jpg 0 2 1 0
img4-11-_png.rf.45b9ba52c03bc3f4bd8584f96a1cc0c9.jpg 0 1 1 0
img4-12-_png.rf.3fc8ed92816ad737aad936dfe4cfff3c.jpg 1 1 1 0
img4-13-_png.rf.ed5bbcbcbb876d7cc79895da7e35ad30.jpg 1 1 1 2
img4-14-_png.rf.5fdd73fe94c3e0a4426b30a8dd421761.jpg 2 1 1 2
img4-15-_png.rf.2971a9e868ddb0e0f1e5deb64a9589b6.jpg 2 0 1 2
img4-16-_png.rf.be85d901d756a7ecf73939c9f3c32669.jpg 0 0 1 2
img4-17-_png.rf.82cf4d7fa9b90d68d1fcd186856ccb3c.jpg 0 0 2 2
img4-18-_png.rf.26de777a8d6d7e39f65241795d48ebe5.jpg 1 0 2 2
img4-19-_png.rf.a49d51bd2ef542ac69951f86e6b34377.jpg 1 2 2 2
img4-2-_png.rf.b0bb70be9804c102d4a3c6e68c74f3b2.jpg 2 2 2 1
img4-20-_png.rf.23360d09a40de5cc7f0ee754ecaeb37d.jpg 2 2 2 2
img4-21-_png.rf.2286b7181d2e87356807e8f9e1a031ac.jpg 2 0 0 0
img4-22-_png.rf.7e1beb8542f9e8eb22eca682a036df25.jpg 2 1 0 0
img4-23-_png.rf.8cbf9282aaf9f6a574d400cc5ae9b78d.jpg 0 1 0 0
img4-24-_png.rf.1284708da32ac91b66a8f9e7db9bbd33.jpg 0 2 0 0
img4-25-_png.rf.fc415c9fda79cd3510adc4010573eced.jpg 2 2 0 0
img4-26-_png.rf.d08b19891475256307a50e0d3226f664.jpg 0 1 1 0
img4-27-_png.rf.ac12001d00ce89e9e635f984e6fd1160.jpg 0 0 1 0
img4-28-_png.rf.5779a51dcb0916071ea440df2ce202f3.jpg 0 0 2 0
img4-29-_png.rf.ed3519652f581b1273997f155c95f669.jpg 1 0 2 0
img4-3-_png.rf.621dd85cb2907dea4a843032092dc8cb.jpg 1 2 2 1
img4-3-_png.rf.d76465813dc697595231f98dbce0688e.jpg 2 1 0 1
img4-30-_png.rf.f86a0a12fd5f6a9cb1130ccc7a03b4b7.jpg 1 2 2 0
img4-31-_png.rf.52968cc34102a2ae04bcb41d28bba945.jpg 2 2 2 0
img4-4-_png.rf.ef012c8d34f675761b238f29738cde7a.jpg 0 0 0 1
img4-4-_png.rf.f4b83ff46dc4f560e2e497a56c484be9.jpg 2 2 1 1
img4-5-_png.rf.2cd1fd30cb5d14f745041c70ea5cd60b.jpg 0 1 0 1
img4-5-_png.rf.7e8ae1bad387565ada4745a85af153af.jpg 0 0 0 2
img4-6-_png.rf.1246742b2cd473f9ad460a0aeaff08ce.jpg 1 0 0 0
